cohort,slug,score
Existing examples,hello-world,9.12
Existing examples,values,9.44
Existing examples,numbers,9.42
Existing examples,booleans,9.32
New syntax/graph examples,operators-and-literals,9.44
Existing examples,none,9.70
Existing examples,variables,9.44
Existing examples,constants,9.32
Existing examples,truthiness,9.70
Existing examples,equality-and-identity,9.56
Existing examples,mutability,9.44
Existing examples,strings,9.68
Existing examples,string-formatting,9.44
Existing examples,conditionals,9.54
New syntax/graph examples,assignment-expressions,9.34
Existing examples,for-loops,9.46
New syntax/graph examples,break-and-continue,9.24
New syntax/graph examples,loop-else,9.34
Existing examples,iterating-over-iterables,9.70
Existing examples,iterators,9.56
Existing examples,match-statements,8.84
New syntax/graph examples,advanced-match-patterns,9.44
Existing examples,while-loops,9.46
Existing examples,lists,9.56
Existing examples,tuples,9.56
Existing examples,unpacking,9.66
Existing examples,dicts,9.56
Existing examples,sets,9.68
Existing examples,slices,9.46
Existing examples,comprehensions,9.68
New syntax/graph examples,comprehension-patterns,9.46
Existing examples,sorting,9.68
Existing examples,functions,9.44
Existing examples,keyword-only-arguments,9.32
New syntax/graph examples,positional-only-parameters,9.34
Existing examples,args-and-kwargs,9.56
Existing examples,multiple-return-values,9.46
Existing examples,closures,9.22
New syntax/graph examples,scope-global-nonlocal,9.46
Existing examples,recursion,8.65
Existing examples,lambdas,9.56
Existing examples,generators,9.46
New syntax/graph examples,yield-from,9.46
Existing examples,generator-expressions,9.44
Existing examples,itertools,9.68
Existing examples,decorators,9.34
Existing examples,classes,8.44
New syntax/graph examples,inheritance-and-super,9.34
Existing examples,dataclasses,9.44
Existing examples,properties,9.56
Existing examples,special-methods,8.52
New syntax/graph examples,metaclasses,8.89
Existing examples,context-managers,9.58
New syntax/graph examples,delete-statements,9.68
Existing examples,exceptions,8.56
New syntax/graph examples,assertions,9.46
New syntax/graph examples,exception-chaining,9.34
New syntax/graph examples,exception-groups,9.24
Existing examples,modules,8.84
New syntax/graph examples,import-aliases,8.56
Existing examples,type-hints,8.77
Existing examples,enums,9.46
Existing examples,regular-expressions,9.66
Existing examples,number-parsing,9.22
Existing examples,custom-exceptions,9.32
Existing examples,json,9.34
Existing examples,datetime,9.54
Existing examples,async-await,8.42
New syntax/graph examples,async-iteration-and-context,8.84
